Date,Sample,Sample Type,Pollster,Sponsor,Candidate 1,Percentage 1,Candidate 2,Percentage 2,Candidate 3,Percentage 3
Feb. 26-28,"1,185",A,Ipsos,Reuters,Biden,36%,Biden,36%,Trump,36%
Feb. 25-28,980,LV,The New York Times/Siena College,,Biden,37%,Biden,37%,Haley,46%
Feb. 25-28,980,RV,The New York Times/Siena College,,Biden,35%,Biden,35%,Haley,45%
Feb. 25-28,980,LV,The New York Times/Siena College,,Biden,44%,Biden,44%,Trump,48%
Feb. 25-28,980,RV,The New York Times/Siena College,,Biden,43%,Biden,43%,Trump,48%
Feb. 24-28,"3,021",RV,HarrisX,Forbes,Biden,38%,Biden,38%,Trump,43%
Feb. 24-28,"3,021",RV,HarrisX,Forbes,Biden,48%,Biden,48%,Trump,52%
Feb. 25-27,"1,498",RV,YouGov,The Economist,Biden,44%,Biden,44%,Trump,44%
Feb. 10-26,745,LV,ActiVote,,Biden,49%,Biden,49%,Haley,51%
Feb. 8-26,999,LV,ActiVote,,Biden,47%,Biden,47%,Trump,53%
Feb. 23-25,"6,224",RV,Morning Consult,,Biden,43%,Biden,43%,Trump,44%
Feb. 23-25,773,LV,Leger,The Canadian Press,Biden,42%,Biden,42%,Trump,45%
Feb. 23-25,"1,005",A,Leger,The Canadian Press,Biden,36%,Biden,36%,Trump,39%
Feb. 20-23,"3,010",RV,HarrisX,,Biden,40%,Biden,40%,Trump,42%
Feb. 20-23,"3,010",RV,HarrisX,,Biden,48%,Biden,48%,Trump,52%
